影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
珍宝大战,麦克斯·亚当斯,麦克斯·亚当斯;保罗·V·斯塔切特,马克-保罗·戈塞拉;布鲁斯·威利斯;克莱尔·弗兰妮;约翰·布罗特顿;珍娜.B.凯利;尼古拉斯·M·勒布;丽迪雅·赫尔;丹尼尔·伯哈特,剧情;动作;犯罪,加拿大,英语,2016-04-22(美国)
丘奇先生,布鲁斯·贝尔斯福德,苏珊·麦克马丁,布丽特·罗伯森;露西·弗莱;艾迪·墨菲;娜塔莎·麦克艾霍恩;泽维尔·塞缪尔;麦肯娜·格瑞丝;麦迪逊·沃尔夫;克里斯蒂安·马德森;珍妮卡·贝尔格雷;汤姆·巴瑞;娜塔莉·考芙琳,剧情,美国,英语,2016-04-22(翠贝卡电影节);2016-06-11(上海电影节)
猫王与尼克松,丽萨·约翰逊,乔伊·萨加尔;哈娜拉·萨加尔;加利·艾尔维斯,迈克尔·珊农;凯文·史派西;亚历克斯·帕蒂弗;约翰尼·诺克斯维尔;科林·汉克斯;埃文·彼得斯;艾什莉·本森;斯凯·费雷拉;泰特·多诺万;迪伦·潘;崔西·莱茨;阿娜·欧蕾利;乔伊·萨加尔,喜剧;历史,美国,英语,2016-04-18(翠贝卡电影节);2016-04-22(美国)
白日末路,威廉·考夫曼,查德·洛,强尼·斯特朗;兰斯·亨利克森;路易·曼迪勒;哈基姆·凯-卡西姆;希瑟·卡夫卡;安迪·麦肯济;加里凯恩斯,动作;科幻;恐怖,美国,英语,2016-04-16(美国)
废柴特工,尼玛·诺里扎德,马克斯·兰迪斯,杰西·艾森伯格;克里斯汀·斯图尔特;沃尔顿·戈金斯;比尔·普尔曼;康妮·布里登;托弗·戈瑞斯;约翰·雷吉扎莫;特瑞·韦伯;托尼·海尔;莫妮卡·甘德顿;迈克尔·帕帕约翰;纳许·艾德顿;莱尔·布罗卡托;唐·耶索,喜剧;动作,美国 / 瑞士,英语,2016-04-15(中国大陆);2015-08-21(美国)
奇幻森林,乔恩·费儒,贾斯丁·马科斯;拉迪亚德·吉普林,尼尔·塞西;比尔·默瑞;本·金斯利;伊德里斯·艾尔巴;露皮塔·尼永奥;斯嘉丽·约翰逊;吉安卡罗·埃斯波西托;克里斯托弗·沃肯;恩杰伊·安东尼;盖瑞·山德林;莎拉·阿林顿;瑞提什·拉詹,剧情;奇幻;冒险,美国,英语,2016-04-15(美国/中国大陆)
我怒了,查克·拉塞尔,伊万·高蒂尔;保罗·斯隆,约翰·特拉沃尔塔;阿曼达·舒尔;瑞贝卡·德·莫妮;克里斯托弗·米洛尼;山姆·特拉梅尔,剧情;动作;犯罪,美国,英语,2016-04-15(美国)
致命女人,英格丽·江格曼,英格丽·江格曼,英格丽·江格曼;安妮特·奥图;希拉·凡德;黛伯拉·拉什;格蕾丝·雷克斯;塔米·赛格;杰奎琳·安塔拉米安;安·卡尔;特伦斯·南斯;罗德里戈·洛普雷斯蒂;香农·帕特里夏·奥尼尔;弗兰西丝·本哈默,爱情;悬疑;同性;犯罪,美国,英语,2016-04-15(翠贝卡电影节);2017-07-26(美国)
我们所拥有的一切,凯蒂·霍尔姆斯,约什·布恩;吉尔·基林顿;安妮·韦瑟瓦克斯,爱娃林德丽;理查德·坎德;马克·康苏斯;凯瑟琳·雷斯;欧迪瑟亚斯·乔治亚迪斯;朱迪·格雷尔;蒂姆·马卡姆;理查德·彼得罗切利;奥什·加尼马;迈克尔·卡瓦迪亚斯;凯蒂·霍尔姆斯;洛丽塔·佛斯特;希博汗·法隆;斯蒂芬妮娅·欧文;卢克·威尔逊,剧情,美国,英语,2016-04-15(翠贝卡电影节);2016-12-09(美国)
恐惧有限公司,文森特·玛斯索尔,卢克·巴内特,卢卡斯·内夫;凯特琳·斯塔西;克里斯·马奎特;斯蒂芬妮·德雷克;马克·摩斯;阿比盖尔·布蕾斯琳;理查德·里尔;帕特里克·瑞纳;娜奥米·格罗斯曼;莱斯利·乔丹;埃里克·兰格;罗尼·吉恩·贝尔维斯;戴维·尤里;艾什琳恩·叶尼;马龙·杨,喜剧;惊悚;恐怖,美国,英语,2016-04-15(翠贝卡电影节);2016-10-21(美国)
伦敦陷落,巴巴克·纳加非,克赖顿·罗森博格;凯特琳·贝内迪克特;克里斯蒂安·古德加斯特;查德·圣·约翰,杰拉德·巴特勒;艾伦·艾克哈特;摩根·弗里曼;阿隆·阿布布尔;安吉拉·贝塞特;罗伯特·福斯特;梅丽莎·里奥;拉达·米切尔;肖恩·奥布赖恩;瓦利德·祖伊特;夏洛特·莱利;杰基·厄尔·哈利;科林·萨蒙;帕特里克·肯尼迪;麦赫迪·德比,动作;惊悚;犯罪,英国 / 美国 / 保加利亚,英语,2016-04-08(中国大陆);2016-03-04(美国/英国)
梦醒之前,迈克·弗拉纳根,迈克·弗拉纳根;杰夫·霍华德,凯特·波茨沃斯;雅各布·特伦布莱;托马斯·简;安娜贝丝·吉什;达什·米霍克;斯考蒂·汤姆森;杰·卡尔内斯;兰斯·E·尼克尔斯;考特尼·贝尔,剧情;恐怖,美国,英语,2016-04-08(英国);2016-09-09(美国)
各有少年时,理查德·林克莱特,理查德·林克莱特,威尔·布里顿;佐伊·达奇;瑞安·古兹曼;泰勒·霍奇林;布莱克·詹纳;J·昆顿·约翰逊;格伦·鲍威尔;怀亚特·罗素;奥斯丁·阿梅里奥;坦普尔·贝克;坦纳·卡林那;贾斯汀·斯特里特;多拉·马迪森·布鲁格;乔纳森·布瑞克;杰西·梅希勒,喜剧,美国,英语,2016-04-08(美国)
老板,本·法尔科内,本·法尔科内;梅丽莎·麦卡西;史蒂夫·马洛,梅丽莎·麦卡西;克里斯汀·贝尔;彼特·丁拉基;艾拉·安德森;泰勒·莱伯恩;凯西·贝茨;安妮·玛莫罗;克里斯汀·沙尔;塞西莉·斯特朗;蒂莫西·西蒙斯;本·法尔科内,喜剧,美国,英语,2016-04-08(美国)
舞力重击,迈克尔·达米安,贾宁·达米安;迈克尔·达米安,琪楠·坎帕;尼古拉斯·加利齐纳;水野索诺娅;简·西摩;理查德·索斯盖特;保罗·弗里曼;马库斯·伊曼纽尔·米切尔;玛雅·摩根斯坦特;安娜贝尔·库帖;康福特·费达克,剧情;爱情;歌舞,美国 / 罗马尼亚,英语,2016-04-08(美国)
睡美人的诅咒,皮尔瑞·雷金纳德·迪奥,Josh Nadler;皮尔瑞·雷金纳德·迪奥;Everette Hartsoe,伊森·派克;英迪娅·埃斯利;娜塔莉·豪尔;布鲁斯·戴维森;James Adam Lim;斯科特·阿兰·史密斯;扎克·沃德;Mim Drew,悬疑;惊悚;奇幻,美国,英语,2016-04-08(布鲁塞尔国际奇幻电影节)
倒数追击,约翰·斯托克韦尔,迈克尔·芬奇;理查德·温克,道夫·齐格勒 Dolph Ziggler;凯恩 Kane;凯瑟琳·伊莎贝尔,动作,美国,英语,2016-04-05(美国)
灵偶契约,威廉·布伦特·贝尔,史黛西·马妮尔,劳伦·科汉;鲁珀特·伊文斯;吉姆·诺顿;黛安娜·哈卡索;本·罗伯森;詹姆斯·罗素;杰特·克莱恩;莉莉·佩特;马修·沃克;斯蒂芬妮·勒梅林,恐怖,美国,英语,2016-04-01(中国大陆);2016-01-22(美国)
病毒入侵,John Suits,Dustin T. Benson,阿尔菲·艾伦;瑞秋·尼科尔斯;米西·派勒;梅奇·费法;丹妮尔·罗丝·拉塞尔;保罗·吉尔福伊尔;多米尼克·博加特;阿曼达·贝克;Robert Lewis Stephenson,动作;科幻;惊悚,美国,英语,2016-04-01(美国)
正义联盟大战少年泰坦,刘山姆,艾伦·伯内特;布赖恩·Q·米勒;詹姆斯·塔克,斯图尔特·艾伦;杰森·马斯登;杰瑞·奥康奈尔;马特·兰特尔;诺兰·诺斯;杰森·奥玛拉;泰莎·法米加;布兰登·司徒;凯瑞·华格伦;罗莎里奥·道森;肖恩·马希尔;谢默·摩尔;杰克·T·奥斯汀;乔·博恩瑟;克里斯托弗·戈勒姆,动作;动画,美国,英语,2016-03-29(美国)
梅格雷的陷阱,阿什利·皮尔斯,斯图尔特·哈考特;乔治·西默农,罗温·艾金森;大卫·道森;费奥纳·肖;露西·科乎;艾丹·麦克阿德尔;瑞贝卡·奈特;肖恩·丁沃;李奥·斯塔;休·西蒙;凯蒂·里昂丝;科林·梅斯;斯科特·亚历山大·杨,剧情;悬疑;犯罪,英国,英语,2016-03-28(英国)
我盛大的希腊婚礼2,柯克·琼斯,妮娅·瓦达拉斯,妮娅·瓦达拉斯;约翰·考伯特;埃莱娜·康博里斯;莱妮·卡赞;迈克尔·康斯坦丁;安德列·马丁;伊恩·戈麦斯;格里·曼迪西诺;亚历克斯·沃尔夫;约翰·斯塔莫斯;丽塔·威尔逊;乔伊·费通;吉娅·卡迪斯;路易·曼迪勒,喜剧;爱情,美国,英语,2016-03-25(美国)
坚信礼,鲍勃·尼尔森,鲍勃·尼尔森,克里夫·欧文;杰顿·李博赫;玛丽亚·贝罗;帕顿·奥斯瓦尔特;斯蒂芬·托布罗斯基;斯宾塞·德雷弗;迈克尔·艾克朗德;瑞安·罗宾斯;马修·莫迪恩;罗伯特·福斯特;蒂姆·布雷克·尼尔森;帕特里克·吉尔莫;格伦·贝克,喜剧;家庭,加拿大,英语,2016-03-18(美国)
天堂奇迹,派翠西亚·里根,兰迪·布朗;克里斯蒂·比姆,詹妮弗·加纳;凯莱·罗杰斯;马丁·亨德森;约翰·卡洛·林奇;欧赫尼奥·德尔维斯;布莱特顿·沙比诺;奎恩·拉提法;罗达·格里菲丝;韦恩·佩雷;布鲁斯·奥尔特曼,剧情,美国,英语,2016-03-16(美国)
别犹豫,迈克·比尔比利亚,迈克·比尔比利亚,迈克·比尔比利亚;吉莉安·雅各布斯;凯特·米库奇;塔米·赛格;科甘-迈克尔·凯;艾米莉· 斯凯格斯;克里斯·格哈德;布兰登·斯科特·琼斯;苏妮特·玛尼;桑德拉·詹姆斯;理查德·克兰;尼尔·弗莱舍;艾琳·达克;加里·理查德森,剧情;喜剧,美国,英语,2016-03-13(西南电影节);2016-07-22(美国)
暴力山谷,缇·威斯特,缇·威斯特,约翰·特拉沃尔塔;凯伦·吉兰;伊桑·霍克;泰莎·法米加;伯恩·戈曼;詹姆斯· 兰索恩;拉瑞·凡斯登;托比·胡斯;K·哈里森·斯威尼;汤米·诺伊利;杰姆斯·卡迪,动作;犯罪;西部,美国,英语,2016-03-12(西南偏南电影节);2016-10-21(美国)
屏住呼吸,费德·阿尔瓦雷兹,费德·阿尔瓦雷兹;罗多·赛亚格斯,史蒂芬·朗;简·拉维;迪兰·明奈特;丹尼尔·祖瓦图;艾玛·博科维奇;弗兰西斯卡·托朗西斯科;克里斯蒂安·泽吉亚;卡提亚·波克;瑟吉·诺普科;奥利维亚·吉尔斯;丹娜·克拉克,惊悚;恐怖;犯罪,美国,英语,2016-03-12(西南偏南电影节);2016-08-26(美国)
无声夜,迈克·弗拉纳根,迈克·弗拉纳根;凯特·西格尔,小约翰·加拉赫;凯特·西格尔;迈克尔·特鲁科;萨曼塔·斯洛扬,惊悚;恐怖,美国,英语,2016-03-12(西南偏南电影节);2016-04-08(美国)
神战：权力之眼,亚历克斯·普罗亚斯,马特·萨兹马;伯克·沙普利斯,尼古拉·科斯特-瓦尔道;布伦顿·思韦茨;杰拉德·巴特勒;查德维克·博斯曼;艾洛蒂·袁;考特尼·伊顿;卢夫斯·塞维尔;杰弗里·拉什;布莱恩·布朗;瑞切尔·布莱克;艾玛·布斯;戈兰·D·克鲁特;阿比·丽;布鲁斯·斯宾斯;罗宾·奈文,动作;奇幻;冒险,美国 / 澳大利亚,英语,2016-03-11(中国大陆);2016-02-26(美国)
爱宠,卡莱斯·托伦斯,杰瑞米·斯莱特,多米尼克·莫纳汉;克塞尼亚·索罗;詹妮特·麦柯迪;达旺·麦克唐纳;内森·帕森斯;珍妮特·桑;加里·J·滕尼克利夫;丹尼斯·加西亚;约翰·罗斯·鲍伊;肖恩·布莱克默;艾琳·罗森;阿拉斯代尔·马丁;哈莫尼·麦克利戈特;瑞秋·鲁滨逊,恐怖,西班牙 / 美国,英语,2016-03-11(西南偏南电影节);2016-12-02(美国)
你好，我叫多蕾丝,迈克尔·肖沃特,劳拉·特鲁索;迈克尔·肖沃特,莎莉·菲尔德;马克思·格林菲尔德;贝丝·比厄;温迪·麦克伦登-考威;斯蒂芬·鲁特;伊莉莎白·里瑟;娜塔莎·雷昂;泰恩·黛莉;彼得·盖勒;库梅尔·南贾尼,剧情;喜剧;爱情,美国,英语,2016-03-11(美国)
科洛弗道10号,丹·特拉亨伯格,乔什·坎贝尔;马修·斯托肯;达米恩·查泽雷,约翰·古德曼;玛丽·伊丽莎白·温斯特德;小约翰·加拉赫;布莱德利·库珀;道格拉斯·M·格里芬;苏珊·克莱尔;素玛立·蒙塔诺;弗兰克·莫特克,科幻;悬疑;惊悚,美国,英语,2016-03-11(美国)
亡界之门,约翰内斯·罗伯茨,约翰内斯·罗伯茨;欧内斯特·里埃拉,莎拉·韦恩·卡丽丝;杰瑞米·西斯托;哈维尔·博泰特;索菲亚·罗新斯基;洛根·克里伦;贾克斯·马尔科姆;苏奇拉·皮莱-马利克,恐怖,印度 / 英国 / 美国,英语,2016-03-04(美国)
威士忌、探戈、狐步舞,格伦·费卡拉;约翰·里夸,罗伯特·卡洛克;金·巴克,蒂娜·菲;玛格特·罗比;马丁·弗瑞曼;克里斯托弗·阿波特;比利·鲍伯·松顿;阿尔弗雷德·莫里纳;希拉·凡德;尼可拉斯·博朗;斯蒂芬·皮科克;伊万·乔尼凯特;斯科特·武田;乔西·查尔斯;切莉·琼斯;斯特林·K·布朗;迪兰·科宁,喜剧;战争,美国,英语,2016-03-04(美国)
丘吉尔的秘密,查尔斯·斯特里奇,斯图尔特·哈考特;乔纳森·史密斯,迈克尔·刚本;琳赛·邓肯;萝玛拉·嘉瑞,剧情;传记,英国,英语,2016-02-28(英国)
末日迷踪,维克·阿姆斯特朗,保罗·拉隆德;约翰·帕特斯;杰瑞·B·詹金斯;蒂姆·莱希,尼古拉斯·凯奇;查德·迈克尔·墨瑞;卡西·汤普森;妮基·韦兰;乔丁·斯巴克斯;莉·汤普森;昆东·亚伦;马丁·科勒巴;劳拉·凯洛蒂;威廉·罗格斯戴尔,动作;科幻;惊悚,美国 / 加拿大,英语,2016-02-26(中国大陆);2014-10-03(美国)
王牌贱谍：格林斯比,路易斯·莱特里尔,萨莎·拜伦·科恩;菲尔·约翰斯顿;彼得·贝恩汉姆,萨莎·拜伦·科恩;马克·斯特朗;艾拉·菲舍尔;蕾蓓尔·威尔森;加布蕾·丝迪贝;佩内洛普·克鲁兹;安娜贝拉·沃丽丝;伊恩·麦柯肖恩;斯科特·阿金斯;大卫·哈雷伍德;山姆·哈兹尔丁;莱斯·施拉普内尔;布伦丹·帕特里克斯;王丽雅;李·尼古拉斯·哈里斯;约翰尼·维加斯;罗里·基南,喜剧;动作,英国 / 澳大利亚 / 美国,英语,2016-02-24(美国)
卧虎藏龙：青冥宝剑,袁和平,约翰·福斯克;王度庐,甄子丹;杨紫琼;岑勇康;刘承羽;李截;原丽淇;吴青芸;袁之正;陈钰芸;朴云龙;关永扬;吴育刚;张舒雅,剧情;动作;武侠;古装,中国大陆 / 美国,英语,2016-02-19(中国大陆);2016-02-26(美国)
复活,凯文·雷诺兹,凯文·雷诺兹;保罗·艾洛,约瑟夫·费因斯;汤姆·费尔顿;彼得·弗斯;克利夫·柯蒂斯;斯图尔特·斯卡德莫尔;玛丽亚·博托;马克·基林;蕾欧诺·瓦特林;扬·科奈特;斯蒂芬·哈根;亚历克斯·马朗尼;斯蒂芬·格里夫,剧情;动作;悬疑;冒险,美国,英语,2016-02-19(美国)
单身指南,克利斯汀·迪特,艾比·科恩;马克·西尔弗斯坦;达纳·福克斯;丽兹·塔琪萝,达科塔·约翰逊;蕾蓓尔·威尔森;爱丽森·布里;莱斯利·曼恩;小达蒙·韦恩斯;安德雷斯·霍尔姆;尼可拉斯·博朗;杰克·莱西;杰森·曼兹沃克斯;科林·乔斯特;尼克·贝特曼;莎拉·拉莫斯,喜剧;爱情,美国,英语,2016-02-12(美国)
新尸骨无存,Travis Zariwny,Randy Pearlstein;伊莱·罗斯,伊莱·罗斯;马修·达达里奥;盖琦·格莱特利;达斯汀·英格拉姆;Louise Linton;Samuel Davis,恐怖,美国,英语,2016-02-12(美国)
死侍,蒂姆·米勒,略特·里斯;保罗·韦尼克;费边·尼谢萨;罗伯·莱菲尔德,瑞安·雷诺兹;莫蕾娜·巴卡林;艾德·斯克林;T·J·米勒;吉娜·卡拉诺;布里安娜·希德布兰德;斯蒂芬·卡皮契奇;莱斯利·格塞斯;杰德·瑞斯;卡兰·索尼;斯坦·李,喜剧;动作;科幻;冒险,美国 / 加拿大,英语,2016-02-12(美国)
超级名模2,本·斯蒂勒,本·斯蒂勒;贾斯汀·塞洛克斯;尼古拉斯·斯托勒;约翰·汉博格,本·斯蒂勒;欧文·威尔逊;威尔·法瑞尔;佩内洛普·克鲁兹;克里斯汀·韦格;弗莱德·阿米森;本尼迪克特·康伯巴奇;凯尔·穆尼;米拉·乔沃维奇;克里斯蒂娜·泰勒;贾斯汀·比伯;贾斯汀·塞洛克斯;内森·李·格雷厄姆;赛勒斯·阿诺德;基弗·萨瑟兰;比利·赞恩;乔恩·戴利;斯汀;苏珊·萨兰登;凯蒂·派瑞;爱莉安娜·格兰德;安娜·温图尔;马克·雅可布;唐美·希绯格;瓦伦蒂诺·加拉瓦尼;苏珊大妈;尼尔·德格拉塞·泰森,喜剧,美国,英语,2016-02-12(美国)
午夜逃亡,杰夫·尼克尔斯,杰夫·尼克尔斯,迈克尔·珊农;乔尔·埃哲顿;克斯汀·邓斯特;亚当·德赖弗;杰顿·李博赫;山姆·夏普德;斯科特·黑兹;比尔·坎普;保罗·斯帕克斯;丹娜·格瑞尔;韦恩·佩雷;詹姆斯·杜蒙特;比利·斯洛特;加雷特·海因斯;肖恩·布里吉格斯,剧情;科幻;冒险,美国,英语,2016-02-12(柏林电影节);2016-03-18(美国)
凯撒万岁,伊桑·科恩;乔尔·科恩,伊桑·科恩;乔尔·科恩,乔什·布洛林;乔治·克鲁尼;阿尔登·埃伦瑞奇;拉尔夫·费因斯;乔纳·希尔;斯嘉丽·约翰逊;弗兰西斯·麦克多蒙德;蒂尔达·斯文顿;查宁·塔图姆;麦克斯·贝克;海瑟·戈尔登赫什;克里斯多弗·兰伯特;费舍·史蒂芬斯;克兰西·布朗;伊恩·布莱克曼;弗雷德·迈拉麦德;阿格妮丝·迪恩;派特里克·费斯克勒;罗伯特·皮卡多;亚历克斯·卡普夫斯基;杰弗里·坎特尔;皮特·杰森;艾米丽·比查姆;蒂芙尼·朗斯代尔;汤姆·马斯格雷夫;迈克尔·刚本,喜剧;悬疑;歌舞,英国 / 美国,英语,2016-02-05(美国);2016-03-04(英国)
傲慢与偏见与僵尸,布尔·斯蒂尔斯,布尔·斯蒂尔斯;赛斯·格雷厄姆-史密斯;简·奥斯汀,莉莉·詹姆斯;萨姆·赖利;杰克·休斯顿;贝拉·希思科特;道格拉斯·布斯;马特·史密斯;查尔斯·丹斯;琳娜·海蒂;苏琪·沃特豪斯;艾玛·格林威尔;埃斯林·洛福斯;莎莉·菲利普斯;艾丽·巴姆博;米莉·布拉迪,动作;爱情;恐怖,美国 / 英国,英语,2016-02-05(美国)
爱情的选择,罗斯·卡兹,布莱恩·斯普;尼古拉斯·斯帕克斯,本杰明·沃克;泰莉莎·帕尔墨;玛姬·格蕾斯;亚历珊德拉·达达里奥;汤姆·威尔金森;汤姆·威灵;诺琳·维多利亚;布拉德·詹姆斯;安娜·恩格;杰西·C·博伊德,剧情;爱情,美国,英语,2016-02-05(美国)
护工故事,罗布·伯内特,罗布·伯内特;Jonathan Evison,保罗·路德;赛琳娜·戈麦斯;詹妮弗·艾莉;克雷格·罗伯兹;梅根·弗格森;弗雷德里克·韦勒;阿什利·怀特,剧情,美国,英语,2016-01-31(圣丹斯电影节);2016-06-24(美国)
爱之女巫,安娜·比勒,安娜·比勒,萨曼莎·罗宾森;吉安·基斯;劳拉·沃德尔;杰弗里·文森特·帕里塞;贾里德·桑福德;罗伯特·西利;詹妮弗·因格拉姆;兰迪·伊万斯;克里夫·阿什伯恩;莉莉·霍利曼;詹妮弗·库奇;斯蒂芬·沃兹尼亚克;吉赛尔·达迈尔;艾普瑞·肖沃斯;艾尔·埃文斯;费尔·米凯拉·格里芬,喜剧;恐怖;情色,美国,英语,2016-01-31(鹿特丹电影节);2016-11-11(美国)
功夫熊猫3,吕寅荣;亚历山德罗·卡罗尼,乔纳森·阿贝尔;格伦·伯杰,杰克·布莱克;布莱恩·科兰斯顿;达斯汀·霍夫曼;安吉丽娜·朱莉;J·K·西蒙斯;成龙;塞斯·罗根;刘玉玲;大卫·克罗斯;凯特·哈德森;吴汉章;兰德尔·杜克·金;尚格·云顿;斯蒂尔·加尼翁;利亚姆·奈特;韦恩·奈特;芭芭拉·迪里克森;阿尔·罗克;威利·盖斯特;弗莱德·塔他斯西奥;迈克·米歇尔;凯莉·库尼;斯蒂芬·凯林;米克·温格特;蔡明昊;艾普尔·洪;帕克斯·朱莉-皮特;诺克斯·朱莉-皮特;扎哈拉·朱莉-皮特;希洛·朱莉-皮特,喜剧;动作;动画;冒险,美国 / 中国大陆,英语,2016-01-29(美国/中国大陆)
怒海救援,克雷格·吉勒斯佩,斯科特·西尔弗;保罗·塔马西;埃瑞克·约翰逊;凯西·谢尔曼;迈克尔·J·图亚斯,克里斯·派恩;卡西·阿弗莱克;本·福斯特;艾瑞克·巴纳;荷丽黛·格兰杰;约翰·奥提兹;乔什·斯图沃特;格拉汉姆·麦克泰维什;凯尔·加尔纳;凯南·朗斯代尔;瑞秋·布罗斯纳安;迈克尔·雷蒙德-詹姆斯;约翰·马加罗;马修·马希尔;亚布拉哈姆·本鲁比;博·纳普,剧情;动作;惊悚,美国,英语,2016-01-29(美国)
鹰之路,杰拉多·奥利瓦雷斯;奥特马尔·朋克,奥特马尔·朋克;乔安娜·蕾,让·雷诺;曼纽尔·卡马科;托比亚斯·莫雷蒂;伊娃·坤,剧情;家庭;冒险,奥地利,英语,2016-01-29(奥地利);2016-07-06(法国)
鼠来宝4：萌在囧途,沃尔特·拜克,罗斯·巴格达萨里安;珍妮丝·卡门;兰迪·梅耶姆·辛格;亚当·希泰凯尔,贾斯汀·朗;马修·格雷·古柏勒;杰西·麦卡尼;杰森·李;金柏莱·威廉姆斯;乔什·格林;托尼·海尔;贝拉·索恩;埃迪·斯蒂普斯;克里斯蒂娜·艾伯盖特;凯莉·库柯;安娜·法瑞丝;詹妮佛·库里奇;凯文·韦德,喜剧;动画;音乐;奇幻;冒险,美国,英语,2016-01-26(中国大陆);2015-12-18(美国)
屠杀公园,Mickey Keating,Mickey Keating,阿什丽·贝尔;帕特·希利;詹姆斯·兰德里·赫伯特;Michael Villar;Bob Bancroft;拉瑞·凡斯登;Andy Greene;阿兰·卢克;Graham Skipper;达比·斯坦奇菲尔德,动作;惊悚;恐怖;犯罪,美国,英语,2016-01-26(美国)
情歌,金素英,金素英;布拉德利·拉斯特·格雷,吉娜·马隆;丽莉·克亚芙;布鲁克琳·黛克;瑞安·艾戈尔德;罗姗娜·阿奎特;艾米·西米茨;凯瑞·福永;尼尔·哈夫;马歇尔·查普曼,剧情;爱情;同性,美国,英语,2016-01-25(圣丹斯电影节);2017-02-17(美国)
霍拉一家,约翰·卡拉辛斯基,詹姆斯·C·斯特劳斯,玛格·马丁戴尔;沙尔托·科普雷;理查德·詹金斯;约翰·卡拉辛斯基;安娜·肯德里克;兰道尔·朴;阿什利·戴克;伊莎贝拉·孔斯汀;迪迪·柯斯汀;乔许·葛洛班;查理·戴;玛丽·凯·普莱斯,剧情;喜剧;家庭,美国,英语,2016-01-24(圣丹斯电影节);2016-08-12(美国)
塔卢拉,夏安·海德,夏安·海德,艾伦·佩吉;艾莉森·珍妮;坦米·布兰查德;伊万·乔尼凯特;菲利斯·索利斯;大卫·札亚斯;奥卓·阿杜巴;弗瑞德里克·林恩;莉莉安娜·埃利斯;伊万杰琳·埃利斯;约翰·本杰明·西基;扎克瑞·昆图;麦迪·科尔曼;约翰·德鲁兹巴;唐马·威尔逊,剧情;喜剧;爱情,美国,英语,2016-01-23(圣丹斯电影节);2016-07-29(美国)
爱情与友谊,惠特·斯蒂尔曼,惠特·斯蒂尔曼;简·奥斯汀,凯特·贝金赛尔;科洛·塞维尼;泽维尔·塞缪尔;斯蒂芬·弗雷;艾玛·格林威尔;莫菲德·克拉克;詹姆斯·弗雷特;吉玛·雷德格里夫;汤姆·班尼特;贾斯汀·爱德华兹,喜剧;爱情,爱尔兰 / 荷兰 / 法国 / 美国,英语,2016-01-23(圣丹斯电影节);2016-05-13(美国)
瑞士军刀男,丹·关;丹尼尔·施纳特,丹·关;丹尼尔·施纳特,保罗·达诺;丹尼尔·雷德克里夫;玛丽·伊丽莎白·温斯特德;蒂莫西·尤里齐;玛丽卡·卡斯蒂尔;理查德·格罗斯,喜剧;奇幻;冒险,美国,英语,2016-01-22(圣丹斯电影节);2016-07-01(美国)
追捕野蛮人,塔伊加·维迪提,塔伊加·维迪提;巴瑞·克鲁普;特阿雷巴·卡希,朱利安·迪尼森;山姆·尼尔;瑞玛·特·维塔;瑞切尔·豪斯;蒂欧蕾欧尔·娜塔-墨尔本;奥斯卡·凯特利;斯坦·沃克;迈克·米诺格;科恩·霍洛维;瑞斯·达比;特洛伊·金;塔伊加·维迪提;图斯;芬恩,剧情;喜剧;冒险,新西兰,英语,2016-01-22(圣丹斯电影节);2016-03-31(新西兰)
下流祖父,丹·马泽,约翰·菲利普斯,罗伯特·德尼罗;扎克·埃夫隆;奥布瑞·普拉扎;佐伊·达奇;朱莉安·浩夫;德蒙特·莫罗尼;亚当·佩里;杰森·曼兹沃克斯;布兰登·史密斯;亨利·泽布罗夫斯基;尤金娜·库日敏娜;莫·柯林斯;杰克·皮克金,喜剧,美国,英语,2016-01-22(美国)
终点站,马克·费米,马克·费米;Shiyan Zheng;加布里埃尔·道克里克,翟·寇特瑞;肯德拉·阿普尔顿;托德·拉桑斯;布伦·福斯特;史蒂芬·李·马奎德;亨利·尼克松;布伦丹·克莱金;文森特·阿德里安;威廉·埃蒙斯;克里斯托弗·斯特勒瑞,科幻,澳大利亚,英语,2016-01-22(美国)
恐怖面纱,菲尔·乔安诺,罗伯特·本·加兰特,杰西卡·阿尔芭;莉莉·拉贝;托马斯·简;珊农·沃德华德;阿莱卡萨·帕拉迪诺;瑞德·斯科特;Jack De Sena;Kyla Drew Simmons;Meegan Warner;蓝尼·雅各布森;大卫·苏利文;Stacey Turner;Amber Friendly;切特·格里索姆;Nathan Clarkson,恐怖,美国,英语,2016-01-19(美国)
蝙蝠侠：血脉恩仇,杰伊·欧力瓦,J·M·德马泰;格兰特·莫里森,杰森·奥玛拉;伊冯娜·斯特拉霍夫斯基;斯图尔特·艾伦;肖恩·马希尔;莫蕾娜·巴卡林;史蒂夫·布卢姆;盖乌斯·查尔斯;约翰·迪·玛吉欧;罗宾·阿特金·唐斯;埃涅·赫德森;克里斯蒂娜·拉金;马修·默瑟;吉奥夫·皮尔森;瓦内萨·马歇尔,动作;科幻;动画;犯罪,美国,英语,2016-01-19(美国)
