影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
里约大冒险2,卡洛斯·沙尔丹哈,唐·莱默;卡洛斯·沙尔丹哈,安妮·海瑟薇;杰西·艾森伯格;布鲁诺·马尔斯;杰米·福克斯;克里斯汀·肯诺恩斯;安迪·加西亚;莱斯利·曼恩;罗德里戈·桑托罗;阿曼德拉·斯坦伯格;杰克·T·奥斯汀;约翰·雷吉扎莫;杰梅奈·克莱门特;乔治·洛佩兹;丽塔·莫雷诺;皮尔斯·加格农;威廉姆·亚当斯;娜塔丽·莫瑞丝;埃里克·埃德尔斯坦;卡洛斯·沙尔丹哈,喜剧;动画;冒险,美国,英语 / 葡萄牙语,2014-04-11(中国大陆/美国)
爱情避风港,拉斯·霍尔斯道姆,莱斯利·博希姆;达娜·史蒂文斯;尼古拉斯·斯帕克斯,乔什·杜哈明;朱莉安·浩夫;艾琳·齐格勒;大卫·莱昂斯;罗宾·穆林斯;胡安·彼德拉伊塔;寇碧·史莫德斯;里克·赖茨,剧情;爱情;悬疑,美国,英语 / 葡萄牙语,2013-02-14(美国)
速度与激情5,林诣彬,克里斯·摩根;盖瑞·斯科特·汤普森,范·迪塞尔;保罗·沃克;道恩·强森;乔丹娜·布鲁斯特;泰瑞斯·吉布森;卢达克里斯;马特·斯查尔兹;姜成镐;盖尔·加朵;埃尔莎·帕塔奇;乔昆姆·德·阿尔梅达;迈克尔·厄尔比,动作;犯罪,美国,英语 / 葡萄牙语,2011-05-12(中国大陆);2011-04-29(美国)
里约大冒险,卡洛斯·沙尔丹哈,唐·莱默,杰西·艾森伯格;安妮·海瑟薇;乔治·洛佩兹;罗德里戈·桑托罗;凯特·德尔·卡斯蒂洛;卡洛斯·庞丝;伯纳多·德·保拉,喜剧;动画;冒险,美国,英语 / 葡萄牙语,2011-04-08(中国大陆);2011-04-15(美国)
外来者,马丁·赞里维特,安德鲁·鲍德温;约翰·林森,杰瑞德·莱托;浅野忠信;椎名桔平;忽那汐里;埃米尔·赫斯基;雷·尼科尔森;罗利·科奇瑞恩;大森南朋;田中泯;三浦诚己;菅田俊;清水寻也;海;地曳豪;渊上泰史;奥野瑛太;松本铃木;菊地麻衣,剧情;惊悚;犯罪,美国,英语 / 日语,2018-03-09(美国网络)
生化危机：复仇,辻本贵则,深见真;乔·麦克林,艾琳·卡希尔;达林·德·保罗;布莱恩·T·德莱尼;约翰·德米塔;凯文·多曼;杰森·范特;阿里夫·S·金成;玛丽·伊丽莎白·麦格林;马修·默瑟;托尼·奥立佛;阿尼·潘托哈;亚历山大·博林斯基;凯伦·斯特拉斯曼,动作;动画;恐怖;冒险,日本,英语 / 日语,2017-05-27(日本)
攻壳机动队,鲁伯特·桑德斯,士郎正宗;杰米·莫斯;威廉·惠勒;伊伦·克鲁格,斯嘉丽·约翰逊;皮鲁·埃斯贝克;北野武;朱丽叶·比诺什;迈克尔·皮特;黄经汉;丹妮西娅·萨马尔;拉札勒斯·雷图勒;泉原豊;托万达·马尼莫;彼得·费迪南多;安娜玛丽亚·玛琳卡;丹尼尔·亨绍尔;安德鲁·斯特林;桃井薰;查尔斯·欧比;福岛莉拉;约瑟夫·纳瓦胡;迈克尔·维克特,动作;科幻;犯罪,美国,英语 / 日语,2017-04-07(中国大陆);2017-03-29(法国);2017-03-31(美国)
最终幻想15：王者之剑,野末武志,长谷川隆,亚伦·保尔;肖恩·宾;琳娜·海蒂;戴维·甘特;达林·德·保罗;特雷弗·德瓦;阿德里安·布薛特;连姆·穆尔维;约翰·德米塔;安德里亚·提瓦塔;托德·哈伯空;亚当·克罗斯代尔;克里斯托弗·L·帕森,剧情;科幻;动画;奇幻;冒险,日本,英语 / 日语,2017-03-10(中国大陆);2016-07-09(日本);2016-08-19(美国)
欢乐好声音,加斯·詹宁斯;克里斯托夫·卢尔德莱,加斯·詹宁斯,马修·麦康纳;瑞茜·威瑟斯彭;塞思·麦克法兰;斯嘉丽·约翰逊;约翰·C·赖利;塔伦·埃格顿;托瑞·凯利;珍妮弗·桑德斯;詹妮弗·哈德森;加斯·詹宁斯;彼得·塞拉菲诺威茨;尼克·克罗尔;贝克·班尼特;杰·费罗尔;尼克·奥弗曼;莱斯莉·琼斯;雷亚·普尔曼;亚当·布克斯顿;比尔·法玛尔,喜剧;动画;歌舞,美国,英语 / 日语,2017-02-17(中国大陆);2016-09-11(多伦多电影节);2016-12-21(美国)
福尔摩斯先生,比尔·康顿,米切·库林;杰弗里·哈彻;阿瑟·柯南·道尔,伊恩·麦克莱恩;劳拉·琳妮;真田广之;米洛·帕克;哈蒂·莫拉汉;帕特里克·肯尼迪;弗朗西斯·德·拉·图瓦;罗杰·阿拉姆;菲尔·戴维斯;科林·斯达克;尼古拉斯·罗尔;玛德琳·沃拉尔;弗兰西斯·巴贝;约翰·塞森斯,剧情;悬疑;犯罪,英国 / 美国,英语 / 日语,2015-02-08(柏林电影节);2015-06-19(英国);2015-07-17(美国)
